run_id,task_id,framework,framework_commit,model_id,replicate_id,seed,input_tokens,output_tokens,reasoning_tokens,tool_calls,compile_test_cycles,wall_clock_seconds,first_pass_success,final_correctness,defect_count,files_generated,files_modified,external_propagation,core_modifications,status
AI-T01-AGE-CLA-R1,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,1,528,13661,2339,2949,4,1,94.63,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-CLA-R2,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,2,551,13428,2215,3568,3,1,70.81,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-CLA-R3,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,3,574,12855,2748,2751,4,1,83.97,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-CLA-R4,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,4,597,13812,2054,3063,12,2,116.56,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-CLA-R5,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,5,620,12622,2109,3023,5,1,90.03,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-O3--R1,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,1,643,11271,2518,4345,12,2,127.59,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-O3--R2,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,2,666,11606,2598,3494,3,1,75.24,1,1.0,1,1,0,0,0,completed
AI-T01-AGE-O3--R3,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,3,689,10871,2684,5401,10,2,133.75,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-O3--R4,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,4,712,13766,2639,4205,10,2,125.67,1,1.0,0,1,0,0,0,completed
AI-T01-AGE-O3--R5,T01,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,5,735,15131,2599,4139,6,2,133.52,1,1.0,1,1,0,0,0,completed
AI-T01-LAN-CLA-R1,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,1,758,23259,4279,7051,18,3,209.37,1,1.0,1,2,2,2,0,completed
AI-T01-LAN-CLA-R2,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,2,781,22587,4844,5969,24,4,277.52,1,1.0,1,2,2,2,0,completed
AI-T01-LAN-CLA-R3,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,3,804,24954,4649,6576,20,4,267.89,1,1.0,0,2,2,2,0,completed
AI-T01-LAN-CLA-R4,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,4,827,19706,4644,3952,24,4,222.0,1,1.0,1,2,2,2,0,completed
