sequence_id,framework,framework_commit,sequence_replicate,phase_id,phase_name,phase_category,files_added,files_modified,core_files_modified,types_added,types_modified,invasiveness_ratio,dependency_edges_added,pass_fail,repair_effort_seconds,is_external_stress_test
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,1,Model Substitution,cross-cutting,0,1,0,0,0,1.0,0,pass,27.37,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,2,Additional Tool,acting,1,0,0,1,0,0.0,1,pass,27.23,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,3,Retry with Backoff,cross-cutting,1,0,0,1,0,0.0,1,pass,41.93,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,4,HITL Approval,cross-cutting,1,0,0,1,0,0.0,1,pass,41.94,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,5,Chat Persistence,remembering,1,0,0,1,0,0.0,1,pass,24.21,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,6,Context Compaction,remembering,1,0,0,1,0,0.0,1,pass,40.46,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,7,Structured Telemetry,cross-cutting,1,0,0,1,0,0.0,1,pass,43.75,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,8,Controlled Interruption,execution,1,0,0,1,0,0.0,1,pass,40.08,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,9,Provider Substitution,reasoning,1,0,0,1,0,0.0,1,pass,15.75,False
SEQ-AGE-S1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,1,10,Multi-Agent Composition,external-stress,2,1,0,2,0,0.3333,1,pass,44.41,True
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,1,Model Substitution,cross-cutting,0,1,0,0,0,1.0,0,pass,31.24,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,2,Additional Tool,acting,1,0,0,1,0,0.0,1,pass,28.71,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,3,Retry with Backoff,cross-cutting,1,0,0,1,0,0.0,1,pass,32.53,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,4,HITL Approval,cross-cutting,1,0,0,1,0,0.0,1,pass,29.78,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,5,Chat Persistence,remembering,1,0,0,1,0,0.0,1,pass,41.91,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,6,Context Compaction,remembering,1,0,0,1,0,0.0,1,pass,23.54,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,7,Structured Telemetry,cross-cutting,1,0,0,1,0,0.0,1,pass,25.57,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,8,Controlled Interruption,execution,1,0,0,1,0,0.0,1,pass,25.9,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,9,Provider Substitution,reasoning,1,0,0,1,0,0.0,1,pass,19.12,False
SEQ-AGE-S2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,2,10,Multi-Agent Composition,external-stress,2,1,0,2,0,0.3333,1,pass,20.32,True
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,1,Model Substitution,cross-cutting,0,1,0,0,0,1.0,0,pass,39.45,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,2,Additional Tool,acting,1,0,0,1,0,0.0,1,pass,17.02,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,3,Retry with Backoff,cross-cutting,1,0,0,1,0,0.0,1,pass,19.57,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,4,HITL Approval,cross-cutting,1,0,0,1,0,0.0,1,pass,26.6,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,5,Chat Persistence,remembering,1,0,0,1,0,0.0,1,pass,22.55,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,6,Context Compaction,remembering,1,0,0,1,0,0.0,1,pass,39.8,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,7,Structured Telemetry,cross-cutting,1,0,0,1,0,0.0,1,pass,37.15,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,8,Controlled Interruption,execution,1,0,0,1,0,0.0,1,pass,42.06,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,9,Provider Substitution,reasoning,1,0,0,1,0,0.0,1,pass,31.36,False
SEQ-AGE-S3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,3,10,Multi-Agent Composition,external-stress,2,1,0,2,0,0.3333,1,pass,44.75,True
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,1,Model Substitution,cross-cutting,0,1,0,0,0,1.0,0,pass,36.0,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,2,Additional Tool,acting,1,0,0,1,0,0.0,1,pass,22.18,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,3,Retry with Backoff,cross-cutting,1,0,0,1,0,0.0,1,pass,36.84,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,4,HITL Approval,cross-cutting,1,0,0,1,0,0.0,1,pass,42.5,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,5,Chat Persistence,remembering,1,0,0,1,0,0.0,1,pass,36.05,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,6,Context Compaction,remembering,1,0,0,1,0,0.0,1,pass,20.69,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,7,Structured Telemetry,cross-cutting,1,0,0,1,0,0.0,1,pass,41.47,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,8,Controlled Interruption,execution,1,0,0,1,0,0.0,1,pass,37.91,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,9,Provider Substitution,reasoning,1,0,0,1,0,0.0,1,pass,19.27,False
SEQ-AGE-S4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,4,10,Multi-Agent Composition,external-stress,2,1,0,2,0,0.3333,1,pass,15.26,True
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,1,Model Substitution,cross-cutting,0,1,0,0,0,1.0,0,pass,29.67,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,2,Additional Tool,acting,1,0,0,1,0,0.0,1,pass,27.97,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,3,Retry with Backoff,cross-cutting,1,0,0,1,0,0.0,1,pass,26.25,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,4,HITL Approval,cross-cutting,1,0,0,1,0,0.0,1,pass,16.2,False
