fault_run_id,fault_id,framework,framework_commit,target_concern,architecture_seam_exists,expressiveness_mismatch,concern_leakage,unrelated_tests_failed,files_modified_to_fix,core_modified_in_fix,repair_iterations,pre_fix_test_pass_rate,post_fix_test_pass_rate,repair_wall_clock_seconds,status
FAULT-FLT-1-AGE,FLT-1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,Retry Logic,True,False,0,0,1,0,1,0.8,1.0,25.95,isolated_repair
FAULT-FLT-1-LAN,FLT-1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,Retry Logic,True,False,1,4,2,0,2,0.4,1.0,149.5,leaked_to_graph
FAULT-FLT-1-PYD,FLT-1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,Retry Logic,True,False,1,3,2,0,3,0.5,1.0,61.04,leaked_to_runner
FAULT-FLT-1-OPE,FLT-1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,Retry Logic,True,False,1,2,2,0,3,0.5,1.0,96.33,leaked_to_runner
FAULT-FLT-1-MIC,FLT-1,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,Retry Logic,True,False,0,1,1,0,1,0.6,1.0,54.11,partially_isolated
FAULT-FLT-1-DEE,FLT-1,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,Retry Logic,True,False,0,1,1,0,4,0.45,1.0,142.16,isolated_plugin
FAULT-FLT-2-AGE,FLT-2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,Tool Approval,True,False,0,0,1,0,1,0.8,1.0,45.85,isolated_repair
FAULT-FLT-2-LAN,FLT-2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,Tool Approval,True,False,1,2,3,0,3,0.4,1.0,143.17,leaked_to_graph
FAULT-FLT-2-PYD,FLT-2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,Tool Approval,True,False,1,3,2,0,3,0.5,1.0,99.39,leaked_to_runner
FAULT-FLT-2-OPE,FLT-2,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,Tool Approval,True,False,0,1,1,0,2,0.5,1.0,59.9,leaked_to_runner
FAULT-FLT-2-MIC,FLT-2,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,Tool Approval,True,False,1,2,2,0,2,0.6,1.0,48.17,partially_isolated
FAULT-FLT-2-DEE,FLT-2,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,Tool Approval,True,False,1,2,3,0,2,0.45,1.0,130.18,service_leakage
FAULT-FLT-3-AGE,FLT-3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,Persistence,True,False,0,0,1,0,1,0.8,1.0,49.82,isolated_repair
FAULT-FLT-3-LAN,FLT-3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,Persistence,True,False,1,4,3,0,4,0.4,1.0,146.27,leaked_to_graph
FAULT-FLT-3-PYD,FLT-3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,Persistence,True,False,1,2,2,0,3,0.5,1.0,111.41,leaked_to_runner
