run_id,framework,framework_commit,task_id,task_name,replicate_id,seed,model_id,runtime_version,start_timestamp,end_timestamp,wall_clock_seconds,stopping_reason,pass_fail,expressiveness_status,files_added,files_modified,public_api_changes,dependency_edges_added,core_touched,external_propagation,normalized_propagation,propagation_radius,repair_iterations,tokens_in,tokens_out,tool_calls,manifest_path,diff_path
RUN-T01-AGE-R1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T01,Retry with Exponential Backoff,1,59,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985853.16,1789986024.07,170.91,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,11445,1574,11,research/results/manifests\RUN-T01-AGE-R1.json,research/results/diffs\RUN-T01-AGE-R1.patch
RUN-T01-AGE-R2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T01,Retry with Exponential Backoff,2,76,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985823.9,1789985997.18,173.28,success,pass,expressible,1,0,0,0,0,0,0.0,0,2,11523,1273,5,research/results/manifests\RUN-T01-AGE-R2.json,research/results/diffs\RUN-T01-AGE-R2.patch
RUN-T01-AGE-R3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T01,Retry with Exponential Backoff,3,93,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985715.54,1789985827.28,111.74,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,6139,1991,4,research/results/manifests\RUN-T01-AGE-R3.json,research/results/diffs\RUN-T01-AGE-R3.patch
RUN-T01-AGE-R4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T01,Retry with Exponential Backoff,4,110,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985711.16,1789985808.54,97.38,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,10327,1826,9,research/results/manifests\RUN-T01-AGE-R4.json,research/results/diffs\RUN-T01-AGE-R4.patch
RUN-T01-AGE-R5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T01,Retry with Exponential Backoff,5,127,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985889.1,1789986018.33,129.23,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,8580,1581,4,research/results/manifests\RUN-T01-AGE-R5.json,research/results/diffs\RUN-T01-AGE-R5.patch
RUN-T01-LAN-R1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T01,Retry with Exponential Backoff,1,144,claude-3-7-sonnet-20250219,Python 3.14.2,1789985808.36,1789985914.7,106.34,success,pass,expressible,2,3,0,3,0,3,0.6,2,3,11128,2203,6,research/results/manifests\RUN-T01-LAN-R1.json,research/results/diffs\RUN-T01-LAN-R1.patch
RUN-T01-LAN-R2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T01,Retry with Exponential Backoff,2,161,claude-3-7-sonnet-20250219,Python 3.14.2,1789985794.38,1789985913.67,119.29,success,pass,expressible,2,2,0,2,0,2,0.5,2,3,11381,1798,15,research/results/manifests\RUN-T01-LAN-R2.json,research/results/diffs\RUN-T01-LAN-R2.patch
RUN-T01-LAN-R3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T01,Retry with Exponential Backoff,3,178,claude-3-7-sonnet-20250219,Python 3.14.2,1789985708.29,1789985882.41,174.12,success,pass,expressible,2,2,0,2,0,2,0.5,2,4,6533,962,11,research/results/manifests\RUN-T01-LAN-R3.json,research/results/diffs\RUN-T01-LAN-R3.patch
RUN-T01-LAN-R4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T01,Retry with Exponential Backoff,4,195,claude-3-7-sonnet-20250219,Python 3.14.2,1789985778.92,1789985829.61,50.69,success,pass,expressible,2,2,0,2,0,2,0.5,2,3,6749,2273,9,research/results/manifests\RUN-T01-LAN-R4.json,research/results/diffs\RUN-T01-LAN-R4.patch
RUN-T01-LAN-R5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T01,Retry with Exponential Backoff,5,212,claude-3-7-sonnet-20250219,Python 3.14.2,1789985818.77,1789985996.39,177.62,success,pass,expressible,2,2,1,2,0,2,0.5,2,3,8778,2110,18,research/results/manifests\RUN-T01-LAN-R5.json,research/results/diffs\RUN-T01-LAN-R5.patch
RUN-T01-PYD-R1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T01,Retry with Exponential Backoff,1,229,claude-3-7-sonnet-20250219,Python 3.14.2,1789985792.26,1789985867.66,75.4,success,pass,expressible,2,1,0,1,0,1,0.3333,1,3,11595,2220,8,research/results/manifests\RUN-T01-PYD-R1.json,research/results/diffs\RUN-T01-PYD-R1.patch
RUN-T01-PYD-R2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T01,Retry with Exponential Backoff,2,246,claude-3-7-sonnet-20250219,Python 3.14.2,1789985712.61,1789985827.36,114.75,success,pass,expressible,1,1,0,1,0,1,0.5,1,3,5099,2209,18,research/results/manifests\RUN-T01-PYD-R2.json,research/results/diffs\RUN-T01-PYD-R2.patch
RUN-T01-PYD-R3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T01,Retry with Exponential Backoff,3,263,claude-3-7-sonnet-20250219,Python 3.14.2,1789985749.6,1789985906.37,156.77,success,pass,expressible,1,2,0,2,0,2,0.6667,1,3,5706,1750,11,research/results/manifests\RUN-T01-PYD-R3.json,research/results/diffs\RUN-T01-PYD-R3.patch
RUN-T01-PYD-R4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T01,Retry with Exponential Backoff,4,280,claude-3-7-sonnet-20250219,Python 3.14.2,1789985836.11,1789985969.66,133.55,success,pass,expressible,1,2,0,2,0,2,0.6667,1,3,11540,2176,14,research/results/manifests\RUN-T01-PYD-R4.json,research/results/diffs\RUN-T01-PYD-R4.patch
